model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,0,0,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,5,1.952756448514131,1.6081761629791629,0.20178515990646073,0.75,0.0018491197346675089,22,7,7,3.0497661811095935,2.254180097319085,-1.1989845998343158
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,0,0,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,5,2.5210539305723048,2.105106844135535,-0.3304173777676447,0.75,0.0018491197346675089,22,7,7,2.595584911006887,2.1533367894697926,-0.5927938899119685
linear_regression,1.065859205953947,1.2995229518488518,0.5046141252125507,6.062404468943313,6.823337612830251,-10.007351119331142,0,0,7,6.823337612830251,6.062404468943313,-10.007351119331142,5,6.904882459044578,5.92023025540529,-8.980130417435547,0.75,0.0018491197346675089,22,7,7,6.823337612830251,6.062404468943313,-10.007351119331142
ridge,1.137881312899113,1.3571663137780332,0.4596914331929147,1.574233431948158,2.014715644032921,0.04034171547045162,0,0,7,2.014715644032921,1.574233431948158,0.04034171547045162,5,2.216830819652357,1.732653547436841,-0.028699995035546433,0.75,0.0018491197346675089,22,7,7,2.014715644032921,1.574233431948158,0.04034171547045162
random_forest,0.741490550454418,1.1192581519411993,0.6325178548253317,1.5053110160614322,2.1686767103816815,-0.11193328453511198,0,0,7,2.1686767103816815,1.5053110160614322,-0.11193328453511198,5,2.4700857108588488,1.7370120358373853,-0.2771669842685349,0.75,0.0018491197346675089,22,7,7,2.1686767103816815,1.5053110160614322,-0.11193328453511198
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
neural_net_mlp,0.03718206115840169,0.05381116878513702,0.9991505837586769,1.6707560957677248,2.184468853237328,-0.12818627771286573,0,0,7,2.184468853237328,1.6707560957677248,-0.12818627771286573,5,2.5418630420128587,2.078906404603587,-0.3524709008183047,0.75,0.0018491197346675089,22,7,7,2.184468853237328,1.6707560957677248,-0.12818627771286573
