model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,0,0,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,5,1.952756448514131,1.6081761629791629,0.20178515990646073,0.75,0.0018491197346675089,22,7,7,3.0497661811095935,2.254180097319085,-1.1989845998343158
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,0,0,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,5,2.5210539305723048,2.105106844135535,-0.3304173777676447,0.75,0.0018491197346675089,22,7,7,2.595584911006887,2.1533367894697926,-0.5927938899119685
linear_regression,1.0335474985887907,1.3870242358714702,0.43565613273657977,1.804740790628051,2.429897578507362,-0.3959344842617669,0,0,7,2.429897578507362,1.804740790628051,-0.3959344842617669,5,2.8189448998787086,2.170722063937015,-0.6634004346849771,0.75,0.0018491197346675089,22,7,7,2.429897578507362,1.804740790628051,-0.3959344842617669
ridge,1.1478330713215998,1.438512524710723,0.39297999273723005,1.6870812706088965,2.0581916228447024,-0.0015225031734655836,0,0,7,2.0581916228447024,1.6870812706088965,-0.0015225031734655836,5,2.072660366113026,1.7666127696654006,0.10075108581582748,0.75,0.0018491197346675089,22,7,7,2.0581916228447024,1.6870812706088965,-0.0015225031734655836
random_forest,0.7388277285646835,1.1395745489835065,0.6190559514654628,1.545826571086001,2.0918298938788897,-0.03452699979447771,0,0,7,2.0918298938788897,1.545826571086001,-0.03452699979447771,5,2.275871295627488,1.6895990167964872,-0.08422404170155873,0.75,0.0018491197346675089,22,7,7,2.0918298938788897,1.545826571086001,-0.03452699979447771
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
neural_net_mlp,0.05250943698108922,0.09408073773701557,0.9974035668874344,1.8388617046777684,2.0937798205160734,-0.036456594512971785,0,0,7,2.0937798205160734,1.8388617046777684,-0.036456594512971785,5,2.176015874123183,1.885606637287013,0.008830898548435218,0.75,0.0018491197346675089,22,7,7,2.0937798205160734,1.8388617046777684,-0.036456594512971785
