fold,model,train_RMSE,val_RMSE,train_R2,val_R2,status
0,linear_regression,7.039199216473051e-16,1.9949716609936126,1.0,-1.162399162891865,ok
0,ridge,0.2833141185955743,2.0066558045392195,0.9517119093773359,-1.1878028024454648,ok
0,random_forest,0.9416709060687579,1.7243770230048163,0.466539947620241,-0.6155740085057229,ok
0,gradient_boosting,1.2892828359490354,1.657569160489312,0.0,-0.492814067145132,ok
0,neural_net_mlp,0.00818870563763159,2.7674305994994257,0.9999596601650182,-3.161174037678334,ok
1,linear_regression,1.2287917140018453e-15,10.281175425020958,1.0,-198.91634968810905,ok
1,ridge,0.6822324960160875,3.194572402856458,0.7647071750414703,-18.301374865106695,ok
1,random_forest,0.7207161928754939,0.960878554631007,0.7374134725795038,-0.7462232880177406,ok
1,gradient_boosting,1.406462184656618,0.8328850416680887,0.0,-0.3119971726492232,ok
1,neural_net_mlp,0.028652777987038656,3.557663441369692,0.9995849720456645,-22.938255408513665,ok
2,linear_regression,1.7365025211234855e-12,12.97888866418467,1.0,-15.023682315483935,ok
2,ridge,0.7475887814812484,6.885931952607256,0.635109087746943,-3.510376184974514,ok
2,random_forest,0.5987149958027645,3.819304587833376,0.7659666399983696,-0.38757319380547606,ok
2,gradient_boosting,1.2376027109293506,3.5235835998627048,0.0,-0.18101787825147908,ok
2,neural_net_mlp,0.034679402116837704,5.216782156229305,0.9992147992622,-1.5887655199997432,ok
3,linear_regression,1.0734155979271849,10.072614127882078,0.721262883200388,-277.0157415994315,ok
3,ridge,1.3114790619240693,1.9473829223983965,0.5839153228416054,-9.391726486484695,ok
3,random_forest,1.2049037803884135,1.746163265070638,0.6487925386313478,-7.355158407182307,ok
3,gradient_boosting,2.0331550523608195,0.7391116189462581,0.0,-0.49694227073703123,ok
3,neural_net_mlp,0.05916509408631316,2.050614426212849,0.9991531819258085,-10.522666965772343,ok
