fold,model,train_RMSE,val_RMSE,train_R2,val_R2,status
0,linear_regression,6.753223014464259e-16,1.9949716609936132,1.0,-1.162399162891866,ok
0,ridge,0.2833141185955743,2.0066558045392195,0.9517119093773359,-1.1878028024454648,ok
0,random_forest,0.9402426890969567,1.7302198042993944,0.46815690088385664,-0.6265407953647186,ok
0,gradient_boosting,1.2892828359490354,1.657569160489312,0.0,-0.492814067145132,ok
0,neural_net_mlp,0.09024831628274178,3.017505998139282,0.9951001609507293,-3.9471911048564854,ok
1,linear_regression,8.777083671441752e-16,10.281175425020988,1.0,-198.91634968811022,ok
1,ridge,0.6822324960160875,3.194572402856458,0.7647071750414703,-18.301374865106695,ok
1,random_forest,0.7167781569705155,0.9694096482325724,0.7402752094445454,-0.7773683814334473,ok
1,gradient_boosting,1.406462184656618,0.8328850416680887,0.0,-0.3119971726492232,ok
1,neural_net_mlp,0.006592612230183893,1.7378927543454425,0.9999780285386227,-4.712269902520008,ok
2,linear_regression,2.3760739084041868e-12,12.978888664202808,1.0,-15.02368231552872,ok
2,ridge,0.7475887814812485,6.885931952607257,0.6351090877469427,-3.510376184974514,ok
2,random_forest,0.5969430664357573,3.8121222738249974,0.7673498588479372,-0.38235935683904887,ok
2,gradient_boosting,1.2376027109293506,3.5235835998627048,0.0,-0.18101787825147908,ok
2,neural_net_mlp,0.055554552358785585,6.2319435290187055,0.9979849918777468,-2.694318465916919,ok
3,linear_regression,1.073415597927179,10.072614127885393,0.7212628832003909,-277.01574159961444,ok
3,ridge,1.3114790619240693,1.9473829223983965,0.5839153228416054,-9.391726486484695,ok
3,random_forest,1.2006142621025306,1.7486921738444552,0.6512887200274995,-7.379376914517602,ok
3,gradient_boosting,2.0331550523608195,0.7391116189462581,0.0,-0.49694227073703123,ok
3,neural_net_mlp,0.06163039679353036,1.8398369560602499,0.9990811408855136,-8.275635400516562,ok
