model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event,tag,mode,include_macro,include_oil,include_covid,start_year,test_ratio,n_train,n_test,n_features
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,3,3.0166727588906705,2.3606796268434267,,0.85,0.0029782753147465503,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,run_nowcast_strict_restricted_macro,nowcast,True,False,False,1992,0.2,25,7,23
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,0,0,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,3,2.307019426534324,1.9040049762329165,,0.85,0.0029782753147465503,22,7,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,run_nowcast_strict_restricted_macro,nowcast,True,False,False,1992,0.2,25,7,23
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,0,0,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,3,2.920513442296597,2.339144854956309,,0.85,0.0029782753147465503,22,7,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,run_nowcast_strict_restricted_macro,nowcast,True,False,False,1992,0.2,25,7,23
linear_regression,0.621451750682662,0.7434790430274565,0.8378514112904418,11.21777856684603,14.822306564248812,-50.94224091122436,0,0,7,14.822306564248812,11.21777856684603,-50.94224091122436,3,4.17709529511766,3.862086292132357,,0.85,0.0029782753147465503,22,7,7,14.822306564248812,11.21777856684603,-50.94224091122436,run_nowcast_strict_restricted_macro,nowcast,True,False,False,1992,0.2,25,7,23
ridge,0.8838045469105422,1.1773036798271383,0.5934137256915741,1.893108798574749,2.1975932394511437,-0.1417833882617554,0,0,7,2.1975932394511437,1.893108798574749,-0.1417833882617554,3,2.3156862899312247,2.1006886619228933,,0.85,0.0029782753147465503,22,7,7,2.1975932394511437,1.893108798574749,-0.1417833882617554,run_nowcast_strict_restricted_macro,nowcast,True,False,False,1992,0.2,25,7,23
random_forest,0.7048502980798623,1.0956324734037437,0.6478679928871063,1.4269336352265773,2.0565124511716952,0.00011101061717000427,0,0,7,2.0565124511716952,1.4269336352265773,0.00011101061717000427,3,2.727967874256093,2.0325791041670116,,0.85,0.0029782753147465503,22,7,7,2.0565124511716952,1.4269336352265773,0.00011101061717000427,run_nowcast_strict_restricted_macro,nowcast,True,False,False,1992,0.2,25,7,23
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,3,3.0166727588906705,2.3606796268434267,,0.85,0.0029782753147465503,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,run_nowcast_strict_restricted_macro,nowcast,True,False,False,1992,0.2,25,7,23
neural_net_mlp,0.030225021709476194,0.07334604283770685,0.9984219197445238,2.022862906451549,2.4686740463796033,-0.44084280428569245,0,0,7,2.4686740463796033,2.022862906451549,-0.44084280428569245,3,2.1973413042508643,1.7098305653228014,,0.85,0.0029782753147465503,22,7,7,2.4686740463796033,2.022862906451549,-0.44084280428569245,run_nowcast_strict_restricted_macro,nowcast,True,False,False,1992,0.2,25,7,23
