model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event
baseline_mean_train,2.9146069898676084,3.835594668186142,0.0,3.2149142857965356,3.595181442885856,-3.9911381641908434,0,0,13,3.595181442885856,3.2149142857965356,-3.9911381641908434,6,4.2512852373239935,3.7163478978113815,-3.240413874586629,0.75,0.0019563459827858544,18,12,13,3.595181442885856,3.2149142857965356,-3.9911381641908434
baseline_last_year,2.2582896515390583,3.372476921423559,0.22690554151756126,1.9703673481415223,2.6179596656990887,-1.6465729399486597,0,0,13,2.6179596656990887,1.9703673481415223,-1.6465729399486597,6,1.865981940164265,1.5653037150549547,0.1830741667133996,0.75,0.0019563459827858544,18,12,13,2.6179596656990887,1.9703673481415223,-1.6465729399486597
baseline_roll3_mean,2.1801222073141244,3.0863060007632312,0.35254057981739184,1.5242823666474448,2.015755015742497,-0.5690380065565308,0,0,13,2.015755015742497,1.5242823666474448,-0.5690380065565308,6,2.4284150646363902,2.070686920855873,-0.38360968783862126,0.75,0.0019563459827858544,18,12,13,2.015755015742497,1.5242823666474448,-0.5690380065565308
linear_regression,1.631339230158837,2.181254066703913,0.6765947278465787,3.1790368331989067,4.039745140909637,-5.301818630653273,0,0,13,4.039745140909637,3.1790368331989067,-5.301818630653273,6,4.784116407442672,3.9567991511311185,-4.369962270025797,0.75,0.0019563459827858544,18,12,13,4.039745140909637,3.1790368331989067,-5.301818630653273
ridge,1.8464310436743459,2.4901005446807516,0.5785283629516558,2.7317480715240756,3.1614506898582233,-2.8594977322015582,0,0,13,3.1614506898582233,2.7317480715240756,-2.8594977322015582,6,3.0499945676992097,2.813140266560739,-1.1825584803168234,0.75,0.0019563459827858544,18,12,13,3.1614506898582233,2.7317480715240756,-2.8594977322015582
random_forest,0.9161071507375691,1.3415811878895365,0.8776599912755818,1.6466985923973252,1.9016614909574143,-0.3964467813954782,0,0,13,1.9016614909574143,1.6466985923973252,-0.3964467813954782,6,2.1263139036933913,1.7401622981537608,-0.06077314279771029,0.75,0.0019563459827858544,18,12,13,1.9016614909574143,1.6466985923973252,-0.3964467813954782
gradient_boosting,1.7052919494945387,2.523342686699471,0.5672001947261915,1.0855921062558684,1.5031265866203296,0.12753286139881692,0,0,13,1.5031265866203296,1.0855921062558684,0.12753286139881692,6,1.8245165853158036,1.204444910131133,0.21897778185470185,0.75,0.0019563459827858544,18,12,13,1.5031265866203296,1.0855921062558684,0.12753286139881692
neural_net_mlp,0.06965487168107388,0.1402203347344797,0.9986635380870735,4.5549758020400475,5.949040282795453,-12.666326264487942,0,0,13,5.949040282795453,4.5549758020400475,-12.666326264487942,6,7.113035821532444,5.79687167764094,-10.870738804587276,0.75,0.0019563459827858544,18,12,13,5.949040282795453,4.5549758020400475,-12.666326264487942
