model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,0,0,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,5,1.952756448514131,1.6081761629791629,0.20178515990646073,0.75,0.0018491197346675089,22,7,7,3.0497661811095935,2.254180097319085,-1.1989845998343158
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,0,0,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,5,2.5210539305723048,2.105106844135535,-0.3304173777676447,0.75,0.0018491197346675089,22,7,7,2.595584911006887,2.1533367894697926,-0.5927938899119685
linear_regression,0.8830846683755145,1.150466738321111,0.6117389320925962,5.942829590368794,6.443010407500379,-8.814468041521817,0,0,7,6.443010407500379,5.942829590368794,-8.814468041521817,5,5.803939045166272,5.42589582899854,-6.051302103962139,0.75,0.0018491197346675089,22,7,7,6.443010407500379,5.942829590368794,-8.814468041521817
ridge,1.0136822707631536,1.3037358441529212,0.5013969596426875,1.6809892352677394,2.0119010400364346,0.04302117183031262,0,0,7,2.0119010400364346,1.6809892352677394,0.04302117183031262,5,1.892238447823904,1.5602975827588454,0.25049357249763793,0.75,0.0018491197346675089,22,7,7,2.0119010400364346,1.6809892352677394,0.04302117183031262
random_forest,0.7563525572825448,1.1281111649159896,0.6266815057629591,1.5038615339003967,2.094007162922065,-0.036681683441581736,0,0,7,2.094007162922065,1.5038615339003967,-0.036681683441581736,5,2.185337101923465,1.5752044184791925,0.0003211251637438295,0.75,0.0018491197346675089,22,7,7,2.094007162922065,1.5038615339003967,-0.036681683441581736
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
neural_net_mlp,0.018810568190745863,0.03298832256649402,0.9996807755292598,2.4001548952393987,2.996082579639078,-1.1222505672772751,0,0,7,2.996082579639078,2.4001548952393987,-1.1222505672772751,5,2.2066142726884768,1.8661877100066344,-0.01924005435749576,0.75,0.0018491197346675089,22,7,7,2.996082579639078,2.4001548952393987,-1.1222505672772751
