model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event,tag,mode,include_macro,include_oil,include_covid,start_year,test_ratio,n_train,n_test,n_features
baseline_mean_train,2.9146069898676084,3.835594668186142,0.0,3.2149142857965356,3.595181442885856,-3.9911381641908434,0,0,13,3.595181442885856,3.2149142857965356,-3.9911381641908434,4,4.867673029919023,4.2802410870850665,,0.85,0.0028791485926867176,18,12,13,3.595181442885856,3.2149142857965356,-3.9911381641908434,run_nowcast_strict_main,nowcast,False,False,False,-1,0.2,49,13,18
baseline_last_year,2.2582896515390583,3.372476921423559,0.22690554151756126,1.9703673481415223,2.6179596656990887,-1.6465729399486597,0,0,13,2.6179596656990887,1.9703673481415223,-1.6465729399486597,4,2.1090316956643775,1.7657391010331658,,0.85,0.0028791485926867176,18,12,13,2.6179596656990887,1.9703673481415223,-1.6465729399486597,run_nowcast_strict_main,nowcast,False,False,False,-1,0.2,49,13,18
baseline_roll3_mean,2.1801222073141244,3.0863060007632312,0.35254057981739184,1.5242823666474448,2.015755015742497,-0.5690380065565308,0,0,13,2.015755015742497,1.5242823666474448,-0.5690380065565308,4,2.701519482279963,2.229005467331622,,0.85,0.0028791485926867176,18,12,13,2.015755015742497,1.5242823666474448,-0.5690380065565308,run_nowcast_strict_main,nowcast,False,False,False,-1,0.2,49,13,18
linear_regression,1.4790192973209628,2.0332219507737563,0.7190013930166446,5.735058537349887,6.853300187605971,-17.136666853098003,0,0,13,6.853300187605971,5.735058537349887,-17.136666853098003,4,6.218099398580646,5.191532852658471,,0.85,0.0028791485926867176,18,12,13,6.853300187605971,5.735058537349887,-17.136666853098003,run_nowcast_strict_main,nowcast,False,False,False,-1,0.2,49,13,18
ridge,1.7933368417158062,2.4436415140301775,0.594108855108229,2.920449026661344,3.251875883410931,-3.0834372648748225,0,0,13,3.251875883410931,2.920449026661344,-3.0834372648748225,4,2.9538116840420465,2.8146833928568293,,0.85,0.0028791485926867176,18,12,13,3.251875883410931,2.920449026661344,-3.0834372648748225,run_nowcast_strict_main,nowcast,False,False,False,-1,0.2,49,13,18
random_forest,0.9121615654878884,1.3199718177909252,0.8815694066343894,1.4225168502063743,1.7795650905175717,-0.22288528923719197,0,0,13,1.7795650905175717,1.4225168502063743,-0.22288528923719197,4,2.345166697623831,1.9657931480493105,,0.85,0.0028791485926867176,18,12,13,1.7795650905175717,1.4225168502063743,-0.22288528923719197,run_nowcast_strict_main,nowcast,False,False,False,-1,0.2,49,13,18
gradient_boosting,1.7811090353129753,2.5682185772843673,0.5516692225474192,1.0387445090626417,1.5004042568861764,0.1306902700031023,0,0,13,1.5004042568861764,1.0387445090626417,0.1306902700031023,4,2.248484821690821,1.5861828119456047,,0.85,0.0028791485926867176,18,12,13,1.5004042568861764,1.0387445090626417,0.1306902700031023,run_nowcast_strict_main,nowcast,False,False,False,-1,0.2,49,13,18
neural_net_mlp,0.10094648349430599,0.28952933842278655,0.9943020354432598,2.9448954417735,4.566859830028584,-7.053660711284506,0,0,13,4.566859830028584,2.9448954417735,-7.053660711284506,4,2.5225031514048393,2.2127866051732505,,0.85,0.0028791485926867176,18,12,13,4.566859830028584,2.9448954417735,-7.053660711284506,run_nowcast_strict_main,nowcast,False,False,False,-1,0.2,49,13,18
