model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,0,0,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,5,1.952756448514131,1.6081761629791629,0.20178515990646073,0.75,0.0018491197346675089,22,7,7,3.0497661811095935,2.254180097319085,-1.1989845998343158
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,0,0,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,5,2.5210539305723048,2.105106844135535,-0.3304173777676447,0.75,0.0018491197346675089,22,7,7,2.595584911006887,2.1533367894697926,-0.5927938899119685
linear_regression,1.0335474985887638,1.3870242358714693,0.43565613273658055,1.8047407906429658,2.4298975785328505,-0.39593448429105194,0,0,7,2.4298975785328505,1.8047407906429658,-0.39593448429105194,5,2.818944899912465,2.17072206396841,-0.6634004347248146,0.75,0.0018491197346675089,22,7,7,2.4298975785328505,1.8047407906429658,-0.39593448429105194
ridge,1.1478330713215998,1.438512524710723,0.39297999273723005,1.6870812706088967,2.0581916228447024,-0.0015225031734655836,0,0,7,2.0581916228447024,1.6870812706088967,-0.0015225031734655836,5,2.072660366113026,1.7666127696654006,0.10075108581582748,0.75,0.0018491197346675089,22,7,7,2.0581916228447024,1.6870812706088967,-0.0015225031734655836
random_forest,0.7184353929683328,0.8975785416994979,0.7636690322519529,1.7256282837129735,2.378725058952093,-0.33775811729179184,0,0,7,2.378725058952093,1.7256282837129735,-0.33775811729179184,5,2.7588509032852397,2.0884048894131135,-0.5932359506826306,0.75,0.0018491197346675089,22,7,7,2.378725058952093,1.7256282837129735,-0.33775811729179184
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
neural_net_mlp,0.030623891447428327,0.04674072802458558,0.9993591348496028,1.6880325337401387,1.9052181912399773,0.1418197045407542,0,0,7,1.9052181912399773,1.6880325337401387,0.1418197045407542,5,2.1326635557014915,1.9726337208311757,0.04793120378396576,0.75,0.0018491197346675089,22,7,7,1.9052181912399773,1.6880325337401387,0.1418197045407542
