model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event
baseline_mean_train,2.9146069898676084,3.835594668186142,0.0,3.2149142857965356,3.595181442885856,-3.9911381641908434,0,0,13,3.595181442885856,3.2149142857965356,-3.9911381641908434,6,4.2512852373239935,3.7163478978113815,-3.240413874586629,0.75,1.9563459827858542e-06,18,12,13,3.595181442885856,3.2149142857965356,-3.9911381641908434
baseline_last_year,2.2582896515390583,3.372476921423559,0.22690554151756126,1.9703673481415223,2.6179596656990887,-1.6465729399486597,0,0,13,2.6179596656990887,1.9703673481415223,-1.6465729399486597,6,1.865981940164265,1.5653037150549547,0.1830741667133996,0.75,1.9563459827858542e-06,18,12,13,2.6179596656990887,1.9703673481415223,-1.6465729399486597
baseline_roll3_mean,2.1801222073141244,3.0863060007632312,0.35254057981739184,1.5242823666474448,2.015755015742497,-0.5690380065565308,0,0,13,2.015755015742497,1.5242823666474448,-0.5690380065565308,6,2.4284150646363902,2.070686920855873,-0.38360968783862126,0.75,1.9563459827858542e-06,18,12,13,2.015755015742497,1.5242823666474448,-0.5690380065565308
linear_regression,1.63213109401856,2.181100822130755,0.6766401680937428,3.1809838627534366,4.043594217092998,-5.31383311910333,0,0,13,4.043594217092998,3.1809838627534366,-5.31383311910333,6,4.787516889115049,3.9554513474362083,-4.37759876812135,0.75,1.9563459827858542e-06,18,12,13,4.043594217092998,3.1809838627534366,-5.31383311910333
ridge,1.847756130502099,2.4899027551473845,0.5785953155635367,2.730805882553631,3.156545639966373,-2.847530856949111,0,0,13,3.156545639966373,2.730805882553631,-2.847530856949111,6,3.0447173461067587,2.8124943761439525,-1.1750123157793175,0.75,1.9563459827858542e-06,18,12,13,3.156545639966373,2.730805882553631,-2.847530856949111
random_forest,0.9161071507375691,1.3415811878895365,0.8776599912755818,1.6466985923973252,1.9016614909574143,-0.3964467813954782,0,0,13,1.9016614909574143,1.6466985923973252,-0.3964467813954782,6,2.1263139036933913,1.7401622981537608,-0.06077314279771029,0.75,1.9563459827858542e-06,18,12,13,1.9016614909574143,1.6466985923973252,-0.3964467813954782
gradient_boosting,0.48827845973598494,0.6992737718495655,0.9667624452426524,1.6970755312310348,2.2096364380655267,-0.885383106628947,0,0,13,2.2096364380655267,1.6970755312310348,-0.885383106628947,6,2.6556413376019012,1.9569017899781835,-0.654651731078614,0.75,1.9563459827858542e-06,18,12,13,2.2096364380655267,1.6970755312310348,-0.885383106628947
neural_net_mlp,0.08345767102240068,0.14538546670488314,0.9985632653119013,3.445596688314739,4.582729020767282,-7.109728615710933,0,0,13,4.582729020767282,3.445596688314739,-7.109728615710933,6,5.559810713303403,4.650949342594197,-6.252500536825915,0.75,1.9563459827858542e-06,18,12,13,4.582729020767282,3.445596688314739,-7.109728615710933
