model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_threshold_damage_share_train_q75
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,1.3643062350033463e-06
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,5,1.952756448514131,1.6081761629791629,0.20178515990646073,1.3643062350033463e-06
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,5,2.5210539305723048,2.105106844135535,-0.3304173777676447,1.3643062350033463e-06
linear_regression,0.7086910124835435,0.8721470116358031,0.7768714698115935,5.588877890259136,7.807122897145007,-13.410237257438292,7,7.807122897145007,5.588877890259136,-13.410237257438292,5,9.031364588102765,6.728638669969524,-16.073807707627495,1.3643062350033463e-06
ridge,1.0212825443669653,1.2926727786706955,0.5098230136085538,1.801920304346309,2.3533031886305236,-0.3093171785497568,7,2.3533031886305236,1.801920304346309,-0.3093171785497568,5,2.5480388564142964,1.9975963324780008,-0.3590509218887654,1.3643062350033463e-06
random_forest,0.5337398982818549,0.7331324434111326,0.8423330784173627,1.8150693955533685,2.4292778492305604,-0.3952225273818999,7,2.4292778492305604,1.8150693955533685,-0.3952225273818999,5,2.793281698905395,2.134772238856063,-0.6332516604774028,1.3643062350033463e-06
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,1.3643062350033463e-06
neural_net_mlp,0.03596973167512138,0.06658050928929685,0.9986996210334266,1.6682452213907555,2.2465144922262996,-0.1931843503248596,7,2.2465144922262996,1.6682452213907555,-0.1931843503248596,5,2.2762727831896212,1.6501312349913868,-0.08460661242434564,1.3643062350033463e-06
