model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_threshold_damage_share_train_q75
baseline_mean_train,2.6954246194164964,3.6321945964344993,0.0,2.707766654935949,3.1776298174815647,-2.6514005951789943,12,3.1776298174815647,2.707766654935949,-2.6514005951789943,10,3.3030041466884597,2.7886801989098844,-2.482122940001086,2.942198732084484e-07
baseline_last_year,2.2969647123854973,3.4321079583477343,0.1071393882749414,1.795055594192771,2.4579786296781694,-1.1847869008600154,12,2.4579786296781694,1.795055594192771,-1.1847869008600154,10,2.630251818245436,1.9201423290119422,-1.2081090688452631,2.942198732084484e-07
baseline_roll3_mean,2.1776974865836096,3.1085442912718384,0.26755350791375887,1.5709993413243415,2.0795394342930686,-0.563821567751968,12,2.0795394342930686,1.5709993413243415,-0.563821567751968,10,2.2618814107726317,1.7840703347438374,-0.6329223193234554,2.942198732084484e-07
linear_regression,1.640293893605612,2.1198302538606897,0.6593848536552629,3.0294817650895225,3.5606874942913818,-3.584802121306578,12,3.5606874942913818,3.0294817650895225,-3.584802121306578,10,3.5739784728273616,2.951680400859188,-3.076896883365455,2.942198732084484e-07
ridge,1.7649795612305368,2.423100278519759,0.5549543514558681,2.5600456701994383,2.889822506061176,-2.0199184540496753,12,2.889822506061176,2.5600456701994383,-2.0199184540496753,10,2.944621545727688,2.566961327520959,-1.7674821819097892,2.942198732084484e-07
random_forest,0.7156381026687575,1.065428130338022,0.91395807812502,1.5237846103845014,1.9936902251815445,-0.43736887732329666,12,1.9936902251815445,1.5237846103845014,-0.43736887732329666,10,2.0412084615558497,1.4932477500907901,-0.3298436454411413,2.942198732084484e-07
gradient_boosting,1.7275665080161497,2.520003563890036,0.5186465443506781,0.9618041177118029,1.4128342967408847,0.2781693220429149,12,1.4128342967408847,0.9618041177118029,0.2781693220429149,10,1.4882444207887744,0.9832754749911661,0.2930732938358601,2.942198732084484e-07
neural_net_mlp,0.11242071808497259,0.21358774046195134,0.9965420840985126,4.466644081424484,5.6393051840068065,-10.500165067281197,12,5.6393051840068065,4.466644081424484,-10.500165067281197,10,4.886489937856606,3.6702202874274263,-6.621138954209526,2.942198732084484e-07
