fold,model,train_RMSE,val_RMSE,train_R2,val_R2,status
0,linear_regression,5.790214889958144e-16,2.219512261510749,1.0,-1.6765631848982987,ok
0,ridge,0.2783564027367749,2.1062590380708333,0.9533871101377126,-1.4103825052327887,ok
0,random_forest,0.9281049138795634,1.7250227385261945,0.4817996020903105,-0.6167841806658412,ok
0,gradient_boosting,1.2892828359490354,1.657569160489312,0.0,-0.492814067145132,ok
0,neural_net_mlp,0.016280972905123908,3.51793891987513,0.9998405353936596,-5.724174764722749,ok
1,linear_regression,1.0509068785146553e-15,4.573014998341856,1.0,-38.55196146176461,ok
1,ridge,0.5601594809228629,2.892368916236278,0.8413765971605497,-14.822319340575369,ok
1,random_forest,0.6555126914984789,1.0222734735878158,0.7827768588901531,-0.9765006328464754,ok
1,gradient_boosting,1.406462184656618,0.8328850416680887,0.0,-0.3119971726492232,ok
1,neural_net_mlp,0.02345363323707887,5.1297142076889735,0.9997219235956177,-48.7678769064569,ok
2,linear_regression,1.6279065094399114e-15,4.183277737302977,1.0,-0.6646414742317552,ok
2,ridge,0.7083209376006759,6.152910852017323,0.6724348767642677,-2.601210913677398,ok
2,random_forest,0.5809472661252796,3.7681539748714195,0.7796510828561943,-0.350655506512368,ok
2,gradient_boosting,1.2376027109293506,3.5235835998627048,0.0,-0.18101787825147908,ok
2,neural_net_mlp,0.04285362152151255,10.24587847259562,0.9988010182978806,-8.98586551424794,ok
3,linear_regression,0.08438012158852212,12.151971929100474,0.9982775790722529,-403.6490344664481,ok
3,ridge,1.3247633650958943,1.9917382416820384,0.5754433779224979,-9.870499918362986,ok
3,random_forest,1.158242193729456,1.5771029927087115,0.6754678226076659,-5.815615860535858,ok
3,gradient_boosting,2.0331550523608195,0.7391116189462581,0.0,-0.49694227073703123,ok
3,neural_net_mlp,0.07089128081056202,3.3877327292738415,0.9987842489711374,-30.4487416637559,ok
