fold,model,train_RMSE,val_RMSE,train_R2,val_R2,status
0,linear_regression,2.275280134513746e-16,2.4761560121543558,1.0,-2.3313357963262784,ok
0,ridge,0.29853807621158207,2.3208389054095946,0.9463829324357544,-1.9265260565441653,ok
0,random_forest,0.9405552904165793,1.7487119603165724,0.46780319966646544,-0.6614947133151143,ok
0,gradient_boosting,1.2892828359490354,1.657569160489312,0.0,-0.492814067145132,ok
0,neural_net_mlp,0.024310585967630267,2.308399286929283,0.9996444551012587,-1.8952379709313028,ok
1,linear_regression,1.4678475218444485e-15,18.300988185841707,1.0,-632.4492929363157,ok
1,ridge,0.7254975408259126,2.394913508521635,0.7339178324910964,-9.847819286022409,ok
1,random_forest,0.728502171497297,1.0511516562451402,0.7317093228619475,-1.0897461426693171,ok
1,gradient_boosting,1.406462184656618,0.8328850416680887,0.0,-0.3119971726492232,ok
1,neural_net_mlp,0.03403020265378043,3.568360646640104,0.9994145727266772,-23.08242723154458,ok
2,linear_regression,0.2422726334381305,9.051472202016287,0.9616781721152424,-6.793378267376463,ok
2,ridge,0.7628066709177711,6.077410275976671,0.6201024779605462,-2.513374329666213,ok
2,random_forest,0.597816106126575,3.6517418233112746,0.7666688514060284,-0.26849115451580263,ok
2,gradient_boosting,1.2376027109293506,3.5235835998627048,0.0,-0.18101787825147908,ok
2,neural_net_mlp,0.06929424254180785,9.511353820093673,0.9968650414741523,-7.605418332177546,ok
3,linear_regression,1.5185127574308779,2.6929620696283347,0.44217767728996793,-18.872177881646028,ok
3,ridge,1.5626444380174753,1.8294289511038175,0.4092831748269673,-8.170987223030663,ok
3,random_forest,1.2687533479477953,1.0502749660878208,0.610584348840628,-2.022671986416894,ok
3,gradient_boosting,2.0331550523608195,0.7391116189462581,0.0,-0.49694227073703123,ok
3,neural_net_mlp,0.02620992831765696,5.877313877253185,0.9998338154420224,-93.654826274204,ok
