model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_threshold_damage_share_train_q75
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,1.3643062350033463e-06
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,5,1.952756448514131,1.6081761629791629,0.20178515990646073,1.3643062350033463e-06
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,5,2.5210539305723048,2.105106844135535,-0.3304173777676447,1.3643062350033463e-06
linear_regression,0.5226620370223113,0.605768468482056,0.89235619574368,13.91701355794595,21.11394227521472,-104.39688103832434,7,21.11394227521472,13.91701355794595,-104.39688103832434,5,24.035974603915186,15.498879110198274,-119.93363567369947,1.3643062350033463e-06
ridge,0.9460953743859848,1.1836395384272391,0.58902572457788,2.475867104525215,2.915000290683317,-1.0089369384848519,7,2.915000290683317,2.475867104525215,-1.0089369384848519,5,3.217356896769557,2.7405344694696643,-1.1668164048957252,1.3643062350033463e-06
random_forest,0.5581436608476479,0.704680439787172,0.8543333461793648,1.9304565504499946,2.617309590845602,-0.619568393041426,7,2.617309590845602,1.9304565504499946,-0.619568393041426,5,3.0574635902346947,2.4007872740766674,-0.9567990298810141,1.3643062350033463e-06
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,1.3643062350033463e-06
neural_net_mlp,0.055063872506616,0.09266140645895264,0.9974813171429872,2.4247414132299676,2.4826498170396016,-0.4572029135173974,7,2.4826498170396016,2.4247414132299676,-0.4572029135173974,5,2.4912734773140355,2.462593766387333,-0.2991713818631019,1.3643062350033463e-06
