model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event,tag,mode,include_macro,include_oil,include_covid,start_year,test_ratio,n_train,n_test,n_features
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,3,3.0166727588906705,2.3606796268434267,,0.85,0.0029782753147465503,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,run_forecast_ex_post_restricted_macro,forecast,True,False,True,1992,0.2,25,7,18
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,0,0,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,3,2.307019426534324,1.9040049762329165,,0.85,0.0029782753147465503,22,7,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,run_forecast_ex_post_restricted_macro,forecast,True,False,True,1992,0.2,25,7,18
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,0,0,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,3,2.920513442296597,2.339144854956309,,0.85,0.0029782753147465503,22,7,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,run_forecast_ex_post_restricted_macro,forecast,True,False,True,1992,0.2,25,7,18
linear_regression,0.7043818757309596,0.8700946201973694,0.7779203944628799,5.613310470768868,7.894884551030128,-13.736035755203972,0,0,7,7.894884551030128,5.613310470768868,-13.736035755203972,3,5.51925841512659,4.834219183753224,,0.85,0.0029782753147465503,22,7,7,7.894884551030128,5.613310470768868,-13.736035755203972,run_forecast_ex_post_restricted_macro,forecast,True,False,True,1992,0.2,25,7,18
ridge,1.022742692750233,1.2959738512295,0.507316306740824,1.824025087538599,2.3771495456797878,-0.3359866156432447,0,0,7,2.3771495456797878,1.824025087538599,-0.3359866156432447,3,2.6495316621752436,2.159184599893968,,0.85,0.0029782753147465503,22,7,7,2.3771495456797878,1.824025087538599,-0.3359866156432447,run_forecast_ex_post_restricted_macro,forecast,True,False,True,1992,0.2,25,7,18
random_forest,0.7123468135268396,1.1100216350866234,0.6385580158394499,1.4369219948067442,2.0459272343685915,0.010377715105877927,0,0,7,2.0459272343685915,1.4369219948067442,0.010377715105877927,3,2.7281289970091693,1.9993401816597214,,0.85,0.0029782753147465503,22,7,7,2.0459272343685915,1.4369219948067442,0.010377715105877927,run_forecast_ex_post_restricted_macro,forecast,True,False,True,1992,0.2,25,7,18
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,3,3.0166727588906705,2.3606796268434267,,0.85,0.0029782753147465503,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,run_forecast_ex_post_restricted_macro,forecast,True,False,True,1992,0.2,25,7,18
neural_net_mlp,0.036862112649283144,0.06809795294532098,0.998639671413536,1.6949119203074297,2.262223522069127,-0.20992967085568992,0,0,7,2.262223522069127,1.6949119203074297,-0.20992967085568992,3,2.825954609280802,2.306311890829278,,0.85,0.0029782753147465503,22,7,7,2.262223522069127,1.6949119203074297,-0.20992967085568992,run_forecast_ex_post_restricted_macro,forecast,True,False,True,1992,0.2,25,7,18
