model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,severe_floor_damage_share,train_count_positive_damage_share,test_count_positive_damage_share
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,1,,,,0.9,1e-05,1e-05,22,7
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,1,,,,0.9,1e-05,1e-05,22,7
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,1,,,,0.9,1e-05,1e-05,22,7
linear_regression,0.6388637351773876,0.7635532758990301,0.8289770473671344,12.0284897584515,15.801023000965923,-58.0281959057912,7,15.801023000965923,12.0284897584515,-58.0281959057912,1,,,,0.9,1e-05,1e-05,22,7
ridge,0.9038590774067136,1.1904322298350278,0.5842951767350979,1.8619181340747206,2.1926944527889987,-0.13669862653798437,7,2.1926944527889987,1.8619181340747206,-0.13669862653798437,1,,,,0.9,1e-05,1e-05,22,7
random_forest,0.7048502980798623,1.0956324734037437,0.6478679928871063,1.4269336352265773,2.0565124511716952,0.00011101061717000427,7,2.0565124511716952,1.4269336352265773,0.00011101061717000427,1,,,,0.9,1e-05,1e-05,22,7
gradient_boosting,0.5342610380037195,0.6706591228596306,0.8680591177575824,1.8996643860257953,2.5789709443759072,-0.5724686578661113,7,2.5789709443759072,1.8996643860257953,-0.5724686578661113,1,,,,0.9,1e-05,1e-05,22,7
neural_net_mlp,0.029736434197867253,0.07206711912681817,0.9984764734265243,2.011995641321387,2.4368305528184466,-0.403911597856619,7,2.4368305528184466,2.011995641321387,-0.403911597856619,1,,,,0.9,1e-05,1e-05,22,7
