model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event,tag,mode,include_macro,include_oil,include_covid,start_year,test_ratio,n_train,n_test,n_features
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,3,3.0166727588906705,2.3606796268434267,,0.85,0.0029782753147465503,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,run_forecast_ex_post_restricted_oil,forecast,False,True,True,1992,0.2,25,7,15
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,0,0,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,3,2.307019426534324,1.9040049762329165,,0.85,0.0029782753147465503,22,7,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,run_forecast_ex_post_restricted_oil,forecast,False,True,True,1992,0.2,25,7,15
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,0,0,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,3,2.920513442296597,2.339144854956309,,0.85,0.0029782753147465503,22,7,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,run_forecast_ex_post_restricted_oil,forecast,False,True,True,1992,0.2,25,7,15
linear_regression,1.065859205953947,1.2995229518488518,0.5046141252125507,6.062404468943313,6.823337612830251,-10.007351119331142,0,0,7,6.823337612830251,6.062404468943313,-10.007351119331142,3,4.507272753803913,3.727630583560788,,0.85,0.0029782753147465503,22,7,7,6.823337612830251,6.062404468943313,-10.007351119331142,run_forecast_ex_post_restricted_oil,forecast,False,True,True,1992,0.2,25,7,15
ridge,1.137881312899113,1.3571663137780332,0.4596914331929147,1.574233431948158,2.014715644032921,0.04034171547045162,0,0,7,2.014715644032921,1.574233431948158,0.04034171547045162,3,2.6149595992994397,2.2059817047463066,,0.85,0.0029782753147465503,22,7,7,2.014715644032921,1.574233431948158,0.04034171547045162,run_forecast_ex_post_restricted_oil,forecast,False,True,True,1992,0.2,25,7,15
random_forest,0.741490550454418,1.1192581519411993,0.6325178548253317,1.5053110160614322,2.1686767103816815,-0.11193328453511198,0,0,7,2.1686767103816815,1.5053110160614322,-0.11193328453511198,3,3.0892462271145136,2.416343079649636,,0.85,0.0029782753147465503,22,7,7,2.1686767103816815,1.5053110160614322,-0.11193328453511198,run_forecast_ex_post_restricted_oil,forecast,False,True,True,1992,0.2,25,7,15
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,3,3.0166727588906705,2.3606796268434267,,0.85,0.0029782753147465503,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,run_forecast_ex_post_restricted_oil,forecast,False,True,True,1992,0.2,25,7,15
neural_net_mlp,0.03718206115840169,0.05381116878513702,0.9991505837586769,1.6707560957677248,2.184468853237328,-0.12818627771286573,0,0,7,2.184468853237328,1.6707560957677248,-0.12818627771286573,3,2.9697027140341037,2.3268219664043617,,0.85,0.0029782753147465503,22,7,7,2.184468853237328,1.6707560957677248,-0.12818627771286573,run_forecast_ex_post_restricted_oil,forecast,False,True,True,1992,0.2,25,7,15
