model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,0,0,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,5,1.952756448514131,1.6081761629791629,0.20178515990646073,0.75,0.0018491197346675089,22,7,7,3.0497661811095935,2.254180097319085,-1.1989845998343158
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,0,0,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,5,2.5210539305723048,2.105106844135535,-0.3304173777676447,0.75,0.0018491197346675089,22,7,7,2.595584911006887,2.1533367894697926,-0.5927938899119685
linear_regression,0.6214517506827557,0.7434790430274734,0.8378514112904345,11.217778567122394,14.822306564785722,-50.94224091498737,0,0,7,14.822306564785722,11.217778567122394,-50.94224091498737,5,16.755086043923413,12.545848229431218,-57.76475926726353,0.75,0.0018491197346675089,22,7,7,14.822306564785722,11.217778567122394,-50.94224091498737
ridge,0.8838045469105424,1.1773036798271383,0.5934137256915741,1.893108798574748,2.1975932394511433,-0.14178338826175496,0,0,7,2.1975932394511433,1.893108798574748,-0.14178338826175496,5,2.137390377286459,1.819030390749851,0.043706208709620054,0.75,0.0018491197346675089,22,7,7,2.1975932394511433,1.893108798574748,-0.14178338826175496
random_forest,0.7083271326686194,1.0988631725460376,0.64578826291638,1.4324405201936337,2.0641402336204093,-0.0073200945642160065,0,0,7,2.0641402336204093,1.4324405201936337,-0.0073200945642160065,5,2.2820456463819254,1.6038661545701587,-0.09011493749961441,0.75,0.0018491197346675089,22,7,7,2.0641402336204093,1.4324405201936337,-0.0073200945642160065
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
neural_net_mlp,0.026438808971048385,0.045815130406446976,0.9993842653914146,1.8255762241050457,2.2064279572681103,-0.15098218839029975,0,0,7,2.2064279572681103,1.8255762241050457,-0.15098218839029975,5,1.4254549992303491,1.2424671937966365,0.5746654525404165,0.75,0.0018491197346675089,22,7,7,2.2064279572681103,1.8255762241050457,-0.15098218839029975
