model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,0,0,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,5,1.952756448514131,1.6081761629791629,0.20178515990646073,0.75,0.0018491197346675089,22,7,7,3.0497661811095935,2.254180097319085,-1.1989845998343158
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,0,0,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,5,2.5210539305723048,2.105106844135535,-0.3304173777676447,0.75,0.0018491197346675089,22,7,7,2.595584911006887,2.1533367894697926,-0.5927938899119685
linear_regression,0.7043818757309596,0.8700946201973694,0.7779203944628799,5.613310470768868,7.894884551030128,-13.736035755203972,0,0,7,7.894884551030128,5.613310470768868,-13.736035755203972,5,9.138869670823757,6.778919021821626,-16.48270398870191,0.75,0.0018491197346675089,22,7,7,7.894884551030128,5.613310470768868,-13.736035755203972
ridge,1.022742692750233,1.2959738512295,0.507316306740824,1.824025087538599,2.3771495456797878,-0.3359866156432447,0,0,7,2.3771495456797878,1.824025087538599,-0.3359866156432447,5,2.5656419065592613,2.0121832579659986,-0.3778937104568203,0.75,0.0018491197346675089,22,7,7,2.3771495456797878,1.824025087538599,-0.3359866156432447
random_forest,0.7123468135268396,1.1100216350866234,0.6385580158394499,1.4369219948067442,2.0459272343685915,0.010377715105877927,0,0,7,2.0459272343685915,1.4369219948067442,0.010377715105877927,5,2.29519483821832,1.6580823291219626,-0.10271365762622664,0.75,0.0018491197346675089,22,7,7,2.0459272343685915,1.4369219948067442,0.010377715105877927
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
neural_net_mlp,0.036862112649283144,0.06809795294532098,0.998639671413536,1.6949119203074297,2.262223522069127,-0.20992967085568992,0,0,7,2.262223522069127,1.6949119203074297,-0.20992967085568992,5,2.267476316804803,1.6662941025670155,-0.07624006598352628,0.75,0.0018491197346675089,22,7,7,2.262223522069127,1.6949119203074297,-0.20992967085568992
