model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,severe_floor_damage_share,train_count_positive_damage_share,test_count_positive_damage_share
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,1,,,,0.9,1e-05,1e-05,22,7
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,1,,,,0.9,1e-05,1e-05,22,7
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,1,,,,0.9,1e-05,1e-05,22,7
linear_regression,1.765920742968774e-14,2.1683428777122743e-14,1.0,22.603341732656588,36.0334168741717,-305.9728679301043,7,36.0334168741717,22.603341732656588,-305.9728679301043,1,,,,0.9,1e-05,1e-05,22,7
ridge,0.8919332550252017,1.1111620585488735,0.637814951651996,1.8706118385551453,2.2625552538086,-0.21028454427909216,7,2.2625552538086,1.8706118385551453,-0.21028454427909216,1,,,,0.9,1e-05,1e-05,22,7
random_forest,0.6763373938359635,1.0587976671636916,0.6711471106061182,1.513357483623227,2.111690251776348,-0.05426437072854862,7,2.111690251776348,1.513357483623227,-0.05426437072854862,1,,,,0.9,1e-05,1e-05,22,7
gradient_boosting,0.3672732538253327,0.4525317886055544,0.9399277505442674,1.8470753952790742,2.693315409826139,-0.7149976578660895,7,2.693315409826139,1.8470753952790742,-0.7149976578660895,1,,,,0.9,1e-05,1e-05,22,7
neural_net_mlp,0.017216325703834957,0.03216940002828938,0.9996964280551472,3.0279519260384262,3.4694645618931097,-1.8458631430448365,7,3.4694645618931097,3.0279519260384262,-1.8458631430448365,1,,,,0.9,1e-05,1e-05,22,7
