model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,1.849119734667509e-06,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,0,0,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,5,1.952756448514131,1.6081761629791629,0.20178515990646073,0.75,1.849119734667509e-06,22,7,7,3.0497661811095935,2.254180097319085,-1.1989845998343158
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,0,0,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,5,2.5210539305723048,2.105106844135535,-0.3304173777676447,0.75,1.849119734667509e-06,22,7,7,2.595584911006887,2.1533367894697926,-0.5927938899119685
linear_regression,1.0360190688216895,1.381930030586949,0.43979391787402666,1.8238591898799044,2.465125564141673,-0.43670363449727856,0,0,7,2.465125564141673,1.8238591898799044,-0.43670363449727856,5,2.863625112457683,2.210051159479037,-0.7165480352520905,0.75,1.849119734667509e-06,22,7,7,2.465125564141673,1.8238591898799044,-0.43670363449727856
ridge,1.144371440603932,1.432642538722896,0.3979238898410362,1.666455052799664,2.041252215674804,0.014895194261506983,0,0,7,2.041252215674804,1.666455052799664,0.014895194261506983,5,2.067240572949321,1.754376685480985,0.10544782342828174,0.75,1.849119734667509e-06,22,7,7,2.041252215674804,1.666455052799664,0.014895194261506983
random_forest,0.7381896764485056,1.1401420589324376,0.6186764354977006,1.5535272670668887,2.095986110749037,-0.03864204767300872,0,0,7,2.095986110749037,1.5535272670668887,-0.03864204767300872,5,2.2823489909964674,1.6993794241938898,-0.09040476734957092,0.75,1.849119734667509e-06,22,7,7,2.095986110749037,1.5535272670668887,-0.03864204767300872
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,1.849119734667509e-06,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
neural_net_mlp,0.03318945147248465,0.050699703454386055,0.9992459736050029,1.721308342196216,1.9751113600691133,0.07769986280924057,0,0,7,1.9751113600691133,1.721308342196216,0.07769986280924057,5,2.193098056813328,2.008547338694185,-0.006791955244940695,0.75,1.849119734667509e-06,22,7,7,1.9751113600691133,1.721308342196216,0.07769986280924057
