model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,severe_floor_damage_share,train_count_positive_damage_share,test_count_positive_damage_share
baseline_mean_train,2.6954246194164964,3.6321945964344993,0.0,2.707766654935949,3.1776298174815647,-2.6514005951789943,12,3.1776298174815647,2.707766654935949,-2.6514005951789943,2,1.9346567592104538,1.9288104050870056,-164.7087749757033,0.9,1e-05,1e-05,18,12
baseline_last_year,2.2969647123854973,3.4321079583477343,0.1071393882749414,1.795055594192771,2.4579786296781694,-1.1847869008600154,12,2.4579786296781694,1.795055594192771,-1.1847869008600154,2,1.1563335041611136,1.136223240597701,-58.1975693924139,0.9,1e-05,1e-05,18,12
baseline_roll3_mean,2.1776974865836096,3.1085442912718384,0.26755350791375887,1.5709993413243415,2.0795394342930686,-0.563821567751968,12,2.0795394342930686,1.5709993413243415,-0.563821567751968,2,1.4582248189575653,1.3518497019287612,-93.14269530824477,0.9,1e-05,1e-05,18,12
linear_regression,1.415962739949915,1.9344512166758094,0.7163535528122323,5.93267398286051,7.113278761816525,-17.297532828775566,12,7.113278761816525,5.93267398286051,-17.297532828775566,2,6.217864108078527,6.0152513284341556,-1710.670277051075,0.9,1e-05,1e-05,18,12
ridge,1.7137895403196317,2.389246043829908,0.5673033477001642,2.262839679388135,2.585491306772978,-1.4173472538853016,12,2.585491306772978,2.262839679388135,-1.4173472538853016,2,2.117714787548068,2.1147905498613033,-197.55123609676255,0.9,1e-05,1e-05,18,12
random_forest,0.9387974133403526,1.3573377360564316,0.860351064154197,1.4741247120617265,1.7966069400385496,-0.1672369411603858,12,1.7966069400385496,1.4741247120617265,-0.1672369411603858,2,2.0672104409479304,2.0618384665780543,-188.19385932762663,0.9,1e-05,1e-05,18,12
gradient_boosting,0.3826824827122172,0.6622303271766131,0.966758553392214,2.0461896469551073,2.462736719976634,-1.193253593625574,12,2.462736719976634,2.0461896469551073,-1.193253593625574,2,2.3847878147124995,1.9904547826137902,-250.7892270638043,0.9,1e-05,1e-05,18,12
neural_net_mlp,0.07490867758915082,0.22136275777073844,0.9962857520069451,3.2197472264656795,3.798416801140498,-4.217447820351346,12,3.798416801140498,3.2197472264656795,-4.217447820351346,2,2.8269295999943314,2.692629339337614,-352.8079956195549,0.9,1e-05,1e-05,18,12
