fold,model,train_RMSE,val_RMSE,train_R2,val_R2,status
0,linear_regression,7.297130333385742e-16,2.2195122615107477,1.0,-1.6765631848982956,ok
0,ridge,0.2783564027367749,2.1062590380708333,0.9533871101377126,-1.4103825052327887,ok
0,random_forest,0.9294816255160021,1.6971672735447034,0.4802611086934243,-0.5649904809266226,ok
0,gradient_boosting,1.2892828359490354,1.657569160489312,0.0,-0.492814067145132,ok
0,neural_net_mlp,0.08418655288406007,4.854851677795981,0.9957362763114633,-11.806024703583633,ok
1,linear_regression,1.2851760658783268e-15,4.573014998341855,1.0,-38.551961461764606,ok
1,ridge,0.5601594809228629,2.892368916236278,0.8413765971605497,-14.822319340575369,ok
1,random_forest,0.650601110772608,1.0206137736929557,0.786019853192032,-0.9700879946399825,ok
1,gradient_boosting,1.406462184656618,0.8328850416680887,0.0,-0.3119971726492232,ok
1,neural_net_mlp,0.02323587184110643,2.051322175444191,0.9997270633698475,-6.9584872384066925,ok
2,linear_regression,1.8548811198880264e-15,4.1832777373029755,1.0,-0.6646414742317541,ok
2,ridge,0.7083209376006759,6.152910852017323,0.6724348767642677,-2.601210913677398,ok
2,random_forest,0.5822864331105089,3.7406685547766503,0.7786340401130194,-0.33102364276170215,ok
2,gradient_boosting,1.2376027109293506,3.5235835998627048,0.0,-0.18101787825147908,ok
2,neural_net_mlp,0.03996975426818419,7.410635721917471,0.9989569612277354,-4.223940758772458,ok
3,linear_regression,0.08438012158852347,12.151971929099945,0.9982775790722528,-403.6490344664128,ok
3,ridge,1.3247633650958943,1.9917382416820382,0.5754433779224979,-9.870499918362984,ok
3,random_forest,1.1648049657662563,1.56926211624748,0.6717797085349925,-5.7480139886190535,ok
3,gradient_boosting,2.0331550523608195,0.7391116189462581,0.0,-0.49694227073703123,ok
3,neural_net_mlp,0.05287032419904304,1.9255529933633917,0.9993237878856397,-9.160052309973048,ok
