model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2
baseline_last_year,2.2582896515390583,3.372476921423559,0.22690554151756126,1.9703673481415223,2.6179596656990887,-1.6465729399486597
linear_regression,1.9107900608350519,2.7179907566017514,0.497853386211633,1.8488094162669055,2.7525172052819884,-1.925620900785963
ridge,1.9243776162904034,2.7518369456362977,0.48526940649461503,1.5367770327005759,1.95478020693751,-0.4755496628719651
random_forest,1.4045170757815608,2.152701101220675,0.6850061653469621,1.3030078553456004,1.804427671134932,-0.2572942292035234
