model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event,tag,mode,include_macro,include_oil,include_covid,start_year,test_ratio,n_train,n_test,n_features
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,3,3.0166727588906705,2.3606796268434267,,0.85,0.0029782753147465503,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,run_forecast_ex_post_restricted,forecast,False,False,True,1992,0.2,25,7,13
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,0,0,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,3,2.307019426534324,1.9040049762329165,,0.85,0.0029782753147465503,22,7,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,run_forecast_ex_post_restricted,forecast,False,False,True,1992,0.2,25,7,13
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,0,0,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,3,2.920513442296597,2.339144854956309,,0.85,0.0029782753147465503,22,7,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,run_forecast_ex_post_restricted,forecast,False,False,True,1992,0.2,25,7,13
linear_regression,1.0335474985887907,1.3870242358714702,0.43565613273657977,1.804740790628051,2.429897578507362,-0.3959344842617669,0,0,7,2.429897578507362,1.804740790628051,-0.3959344842617669,3,3.1889785887671147,2.3782854077509694,,0.85,0.0029782753147465503,22,7,7,2.429897578507362,1.804740790628051,-0.3959344842617669,run_forecast_ex_post_restricted,forecast,False,False,True,1992,0.2,25,7,13
ridge,1.1478330713215998,1.438512524710723,0.39297999273723005,1.6870812706088965,2.0581916228447024,-0.0015225031734655836,0,0,7,2.0581916228447024,1.6870812706088965,-0.0015225031734655836,3,2.566404749707586,2.3404241135690795,,0.85,0.0029782753147465503,22,7,7,2.0581916228447024,1.6870812706088965,-0.0015225031734655836,run_forecast_ex_post_restricted,forecast,False,False,True,1992,0.2,25,7,13
random_forest,0.7388277285646835,1.1395745489835065,0.6190559514654628,1.545826571086001,2.0918298938788897,-0.03452699979447771,0,0,7,2.0918298938788897,1.545826571086001,-0.03452699979447771,3,2.8545086964106847,2.2612775404754557,,0.85,0.0029782753147465503,22,7,7,2.0918298938788897,1.545826571086001,-0.03452699979447771,run_forecast_ex_post_restricted,forecast,False,False,True,1992,0.2,25,7,13
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,3,3.0166727588906705,2.3606796268434267,,0.85,0.0029782753147465503,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,run_forecast_ex_post_restricted,forecast,False,False,True,1992,0.2,25,7,13
neural_net_mlp,0.05250943698108922,0.09408073773701557,0.9974035668874344,1.8388617046777684,2.0937798205160734,-0.036456594512971785,0,0,7,2.0937798205160734,1.8388617046777684,-0.036456594512971785,3,2.7119268749234493,2.5877337494714534,,0.85,0.0029782753147465503,22,7,7,2.0937798205160734,1.8388617046777684,-0.036456594512971785,run_forecast_ex_post_restricted,forecast,False,False,True,1992,0.2,25,7,13
