model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,0,0,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,5,1.952756448514131,1.6081761629791629,0.20178515990646073,0.75,0.0018491197346675089,22,7,7,3.0497661811095935,2.254180097319085,-1.1989845998343158
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,0,0,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,5,2.5210539305723048,2.105106844135535,-0.3304173777676447,0.75,0.0018491197346675089,22,7,7,2.595584911006887,2.1533367894697926,-0.5927938899119685
linear_regression,0.7043818757308733,0.8700946201973717,0.7779203944628786,5.613310470768598,7.894884550970917,-13.73603575498293,0,0,7,7.894884550970917,5.613310470768598,-13.73603575498293,5,9.138869670743084,6.778919021755014,-16.482703988393247,0.75,0.0018491197346675089,22,7,7,7.894884550970917,5.613310470768598,-13.73603575498293
ridge,1.0227426927502332,1.2959738512295003,0.5073163067408237,1.824025087538599,2.3771495456797878,-0.3359866156432447,0,0,7,2.3771495456797878,1.824025087538599,-0.3359866156432447,5,2.5656419065592613,2.012183257965999,-0.3778937104568203,0.75,0.0018491197346675089,22,7,7,2.3771495456797878,1.824025087538599,-0.3359866156432447
random_forest,0.6468840100319224,0.8680507359627297,0.7789625153410026,1.7528225371835155,2.386634984420402,-0.3466697485843373,0,0,7,2.386634984420402,1.7528225371835155,-0.3466697485843373,5,2.75485235054125,2.0839398326960428,-0.588620970352455,0.75,0.0018491197346675089,22,7,7,2.386634984420402,1.7528225371835155,-0.3466697485843373
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
neural_net_mlp,0.03967753169180456,0.06439182110359908,0.9987837100278825,2.066235790006617,2.4815974752323955,-0.45596782145300785,0,0,7,2.4815974752323955,2.066235790006617,-0.45596782145300785,5,2.3451779322181587,1.9468637442605867,-0.15126482113294437,0.75,0.0018491197346675089,22,7,7,2.4815974752323955,2.066235790006617,-0.45596782145300785
