model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,severe_floor_damage_share,train_count_positive_damage_share,test_count_positive_damage_share
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,1,,,,0.9,1e-05,1e-05,22,7
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,1,,,,0.9,1e-05,1e-05,22,7
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,1,,,,0.9,1e-05,1e-05,22,7
linear_regression,0.8850568155840612,1.1608090134212021,0.6047269054236397,5.969923916793776,6.491963648005047,-8.964172973069402,7,6.491963648005047,5.969923916793776,-8.964172973069402,1,,,,0.9,1e-05,1e-05,22,7
ridge,1.0248355424944662,1.3154133179993832,0.49242505092553024,1.6681673730712876,1.9968067271899252,0.05732679707699051,7,1.9968067271899252,1.6681673730712876,0.05732679707699051,1,,,,0.9,1e-05,1e-05,22,7
random_forest,0.7552947032651826,1.1270313716671292,0.6273958216594469,1.5057019486371672,2.0945224743428676,-0.03719197743929881,7,2.0945224743428676,1.5057019486371672,-0.03719197743929881,1,,,,0.9,1e-05,1e-05,22,7
gradient_boosting,0.5423335906379996,0.719796465783199,0.8480169588558777,1.8750573823127972,2.4930885909546623,-0.46948285029837233,7,2.4930885909546623,1.8750573823127972,-0.46948285029837233,1,,,,0.9,1e-05,1e-05,22,7
neural_net_mlp,0.0583617528782779,0.24696246964405227,0.9821088758455245,2.435542259647911,2.7321834793382185,-0.7648541535003519,7,2.7321834793382185,2.435542259647911,-0.7648541535003519,1,,,,0.9,1e-05,1e-05,22,7
