model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,0,0,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,5,1.952756448514131,1.6081761629791629,0.20178515990646073,0.75,0.0018491197346675089,22,7,7,3.0497661811095935,2.254180097319085,-1.1989845998343158
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,0,0,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,5,2.5210539305723048,2.105106844135535,-0.3304173777676447,0.75,0.0018491197346675089,22,7,7,2.595584911006887,2.1533367894697926,-0.5927938899119685
linear_regression,0.801833067210886,1.0751214054173415,0.6609289369777778,7.575748219265392,9.290313210259843,-19.405620770308595,0,0,7,9.290313210259843,7.575748219265392,-19.405620770308595,5,10.50590292052342,8.607300653593592,-22.10417169467786,0.75,0.0018491197346675089,22,7,7,9.290313210259843,7.575748219265392,-19.405620770308595
ridge,1.0157455100835084,1.220371700552059,0.5631222097754471,1.4161449088968945,1.5918894256435583,0.40087851337552716,0,0,7,1.5918894256435583,1.4161449088968945,0.40087851337552716,5,1.7336004604981399,1.5273685767441905,0.3708971338109257,0.75,0.0018491197346675089,22,7,7,1.5918894256435583,1.4161449088968945,0.40087851337552716
random_forest,0.7129199798203137,1.0911188531901963,0.6507633365714455,1.4755915423495054,1.9793407467007884,0.073745715835984,0,0,7,1.9793407467007884,1.4755915423495054,0.073745715835984,5,2.1803527313735622,1.606594318626141,0.004876108947859503,0.75,0.0018491197346675089,22,7,7,1.9793407467007884,1.4755915423495054,0.073745715835984
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,0.75,0.0018491197346675089,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506
neural_net_mlp,0.02086848223180295,0.04764144166643733,0.9993341973786123,1.2583529348624016,1.8917824137410215,0.15388096147074515,0,0,7,1.8917824137410215,1.2583529348624016,0.15388096147074515,5,2.2103362051903073,1.5816294369532833,-0.0226812919564916,0.75,0.0018491197346675089,22,7,7,1.8917824137410215,1.2583529348624016,0.15388096147074515
