fold,model,train_RMSE,val_RMSE,train_R2,val_R2,status
0,linear_regression,5.790214889958144e-16,1.9033235151236232,1.0,-0.9682833984201591,ok
0,ridge,0.2627653360602192,1.900620923760013,0.9584625584378598,-0.96269770683413,ok
0,random_forest,0.9368770722686278,1.6712454785735873,0.47195757164902985,-0.5175495964844592,ok
0,gradient_boosting,1.2892828359490354,1.657569160489312,0.0,-0.492814067145132,ok
0,neural_net_mlp,0.01612608125075026,3.5124456055998565,0.9998435551449206,-5.703191361405561,ok
1,linear_regression,1.5411719183186183e-15,4.792673873094353,1.0,-42.44287208870785,ok
1,ridge,0.540884386135637,3.4225326409893726,0.852105245859868,-21.154296912888455,ok
1,random_forest,0.66888666163875,1.0143719112577207,0.7738227331348049,-0.9460643814855962,ok
1,gradient_boosting,1.406462184656618,0.8328850416680887,0.0,-0.3119971726492232,ok
1,neural_net_mlp,0.045926423117205975,3.9575361736378385,0.9989337252486017,-28.621876080117293,ok
2,linear_regression,2.236302628683643e-15,3.7839908189328506,1.0,-0.3620324672798323,ok
2,ridge,0.7043115855799484,6.594661049591093,0.6761326552027169,-3.1368737724897944,ok
2,random_forest,0.5798825899425,3.8375810611950603,0.7804579900814845,-0.40088484321787643,ok
2,gradient_boosting,1.2376027109293506,3.5235835998627048,0.0,-0.18101787825147908,ok
2,neural_net_mlp,0.041590064819319435,11.331485764265862,0.9988706808555537,-11.214087507549921,ok
3,linear_regression,5.519423966893512e-14,12.042611337538167,1.0,-396.3986006914766,ok
3,ridge,1.1217880353563223,2.00456741108506,0.6955747949678746,-10.010988888965434,ok
3,random_forest,1.1316237007340866,1.489521587019073,0.6902130852602447,-5.079650257883071,ok
3,gradient_boosting,2.0331550523608195,0.7391116189462581,0.0,-0.49694227073703123,ok
3,neural_net_mlp,0.04309831937765061,2.7421070486026835,0.9995506552517573,-19.604107325511084,ok
