model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event,tag,mode,include_macro,include_oil,include_covid,start_year,test_ratio,n_train,n_test,n_features
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,3,3.0166727588906705,2.3606796268434267,,0.85,0.0029782753147465503,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,run_nowcast_ex_post_restricted_macro,nowcast,True,False,True,1992,0.2,25,7,24
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,0,0,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,3,2.307019426534324,1.9040049762329165,,0.85,0.0029782753147465503,22,7,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,run_nowcast_ex_post_restricted_macro,nowcast,True,False,True,1992,0.2,25,7,24
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,0,0,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,3,2.920513442296597,2.339144854956309,,0.85,0.0029782753147465503,22,7,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,run_nowcast_ex_post_restricted_macro,nowcast,True,False,True,1992,0.2,25,7,24
linear_regression,0.6214517506827557,0.7434790430274734,0.8378514112904345,11.217778567122394,14.822306564785722,-50.94224091498737,0,0,7,14.822306564785722,11.217778567122394,-50.94224091498737,3,4.177095294788875,3.8620862917944607,,0.85,0.0029782753147465503,22,7,7,14.822306564785722,11.217778567122394,-50.94224091498737,run_nowcast_ex_post_restricted_macro,nowcast,True,False,True,1992,0.2,25,7,24
ridge,0.8838045469105424,1.1773036798271383,0.5934137256915741,1.893108798574748,2.1975932394511433,-0.14178338826175496,0,0,7,2.1975932394511433,1.893108798574748,-0.14178338826175496,3,2.3156862899312247,2.100688661922893,,0.85,0.0029782753147465503,22,7,7,2.1975932394511433,1.893108798574748,-0.14178338826175496,run_nowcast_ex_post_restricted_macro,nowcast,True,False,True,1992,0.2,25,7,24
random_forest,0.7083271326686194,1.0988631725460376,0.64578826291638,1.4324405201936337,2.0641402336204093,-0.0073200945642160065,0,0,7,2.0641402336204093,1.4324405201936337,-0.0073200945642160065,3,2.7533080607057347,2.061663480376332,,0.85,0.0029782753147465503,22,7,7,2.0641402336204093,1.4324405201936337,-0.0073200945642160065,run_nowcast_ex_post_restricted_macro,nowcast,True,False,True,1992,0.2,25,7,24
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,0,0,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,3,3.0166727588906705,2.3606796268434267,,0.85,0.0029782753147465503,22,7,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,run_nowcast_ex_post_restricted_macro,nowcast,True,False,True,1992,0.2,25,7,24
neural_net_mlp,0.026438808971048385,0.045815130406446976,0.9993842653914146,1.8255762241050457,2.2064279572681103,-0.15098218839029975,0,0,7,2.2064279572681103,1.8255762241050457,-0.15098218839029975,3,1.6559277809070252,1.577645516856294,,0.85,0.0029782753147465503,22,7,7,2.2064279572681103,1.8255762241050457,-0.15098218839029975,run_nowcast_ex_post_restricted_macro,nowcast,True,False,True,1992,0.2,25,7,24
