fold,model,train_RMSE,val_RMSE,train_R2,val_R2,status
0,linear_regression,0.5859404924952281,302.8296388987332,0.9753838868004285,-11565.65581035408,ok
0,ridge,3.0412182721127996,6.983180519241931,0.3368563136969921,-5.150601544627386,ok
0,random_forest,2.647776590814279,6.822746965529679,0.49733906666069116,-4.8712366401173,ok
0,gradient_boosting,3.7345972370331606,5.367743350124113,0.0,-2.6340804741496724,ok
0,neural_net_mlp,0.039397703251950016,40.49159418016811,0.9998887104807626,-205.7953677141093,ok
1,linear_regression,2.5320487888839542,3.26257930875956,0.607100679538241,-12.469532837637185,ok
1,ridge,2.873525483928249,1.3659028753920772,0.49398051013814326,-1.3608588193156144,ok
1,random_forest,1.7415904862039875,1.7070530357863525,0.8141214715539665,-2.687435281980176,ok
1,gradient_boosting,4.039535515651383,3.089025285772194,0.0,-11.074615354449557,ok
1,neural_net_mlp,0.14355645671857287,4.745943777881705,0.9987370603465351,-27.50201448588904,ok
2,linear_regression,2.428983550838614,2.409472610245517,0.5548346406816724,-0.08059552679367021,ok
2,ridge,2.612589310199499,2.4163691107535645,0.48499137095128797,-0.0867902374210856,ok
2,random_forest,1.386040451859065,2.626601830904447,0.8550480622219728,-0.2841260703258568,ok
2,gradient_boosting,3.640523951250356,3.625770550775435,0.0,-1.4469202340791556,ok
2,neural_net_mlp,0.3146716467003981,3.474363605512386,0.9925288502676829,-1.2468274025973565,ok
3,linear_regression,2.1683551481630525,9.37538274469721,0.6318282356341238,-36.92298088868805,ok
3,ridge,2.4379185109919317,3.649714854240964,0.5345982437824042,-4.747014915156547,ok
3,random_forest,1.3484111122936508,1.5945359094950484,0.8576248175318979,-0.09696573554049093,ok
3,gradient_boosting,3.5735937182979898,4.5955684080613874,0.0,-8.111773688141207,ok
3,neural_net_mlp,0.16601377412658586,3.475320822552329,0.9978418685503828,-4.210918238172251,ok
4,linear_regression,1.9692463378791552,173.43042898250198,0.7166034463294648,-3923.516780449691,ok
4,ridge,2.2722736179001557,113.13929337282448,0.6226748756216465,-1669.1770728045567,ok
4,random_forest,1.2529170050804954,2.784272155276649,0.8852800156834282,-0.011483871183764593,ok
4,gradient_boosting,2.747039611297852,2.9097509747372783,0.4485269226699675,-0.10470733697995427,ok
4,neural_net_mlp,0.28942697312998694,84.6467468263463,0.9938782938788739,-933.8805777012009,ok
