fold,model,train_RMSE,val_RMSE,train_R2,val_R2,status
0,linear_regression,0.5859404924952283,302.82963889861196,0.9753838868004284,-11565.655810344817,ok
0,ridge,3.0412182721127996,6.983180519241931,0.3368563136969921,-5.150601544627386,ok
0,random_forest,2.6442243543861466,6.8240589081503416,0.4986868939138529,-4.873494811554617,ok
0,gradient_boosting,3.7345972370331606,5.367743350124113,0.0,-2.6340804741496724,ok
0,neural_net_mlp,0.0825625400271514,7.898290318002332,0.9995112592534457,-6.86823352815993,ok
1,linear_regression,2.5320487888839533,3.2625793087558175,0.6071006795382412,-12.469532837606288,ok
1,ridge,2.873525483928249,1.3659028753920774,0.49398051013814326,-1.3608588193156144,ok
1,random_forest,1.7391409907376396,1.7744310889308665,0.8146439691528924,-2.984269016142559,ok
1,gradient_boosting,4.039535515651383,3.089025285772194,0.0,-11.074615354449557,ok
1,neural_net_mlp,0.12038515481257882,6.76825359712506,0.9991118567702332,-56.96737360856903,ok
2,linear_regression,2.428983550838613,2.4094726102454813,0.5548346406816727,-0.08059552679363846,ok
2,ridge,2.612589310199499,2.4163691107535645,0.48499137095128797,-0.0867902374210856,ok
2,random_forest,1.3857744734248332,2.6151025751187245,0.8551036888671698,-0.2729068819932283,ok
2,gradient_boosting,3.640523951250356,3.625770550775435,0.0,-1.4469202340791556,ok
2,neural_net_mlp,0.18740188538217975,5.0715399853402845,0.9973501571029258,-3.787390852663722,ok
3,linear_regression,2.1685779972856727,11.076492802964603,0.6317525552541439,-51.933302854549126,ok
3,ridge,2.4712154388421794,2.6534446718915534,0.5217985760680233,-2.037697521280895,ok
3,random_forest,1.340764556097501,1.5499084051787875,0.8592349985611809,-0.036421756110098125,ok
3,gradient_boosting,3.5735937182979898,4.5955684080613874,0.0,-8.111773688141207,ok
3,neural_net_mlp,0.27813086154902666,5.363577713026037,0.993942575496101,-11.411766852358898,ok
4,linear_regression,2.058395298354161,165.00932390370792,0.6903635825108403,-3551.6511424434943,ok
4,ridge,2.323851167473931,12.454391241505833,0.605350922971313,-19.238606324971972,ok
4,random_forest,1.2465330245726978,2.7933137054675683,0.8864461014180257,-0.018063853942959618,ok
4,gradient_boosting,2.747039611297852,2.9097509747372783,0.4485269226699675,-0.10470733697995427,ok
4,neural_net_mlp,0.1939774810129716,193.46948875689378,0.9972502253611366,-4882.830264294066,ok
