model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event
baseline_mean_train,2.9146069898676084,3.835594668186142,0.0,3.2149142857965356,3.595181442885856,-3.9911381641908434,0,0,13,3.595181442885856,3.2149142857965356,-3.9911381641908434,6,4.2512852373239935,3.7163478978113815,-3.240413874586629,0.75,1.9563459827858542e-06,18,12,13,3.595181442885856,3.2149142857965356,-3.9911381641908434
baseline_last_year,2.2582896515390583,3.372476921423559,0.22690554151756126,1.9703673481415223,2.6179596656990887,-1.6465729399486597,0,0,13,2.6179596656990887,1.9703673481415223,-1.6465729399486597,6,1.865981940164265,1.5653037150549547,0.1830741667133996,0.75,1.9563459827858542e-06,18,12,13,2.6179596656990887,1.9703673481415223,-1.6465729399486597
baseline_roll3_mean,2.1801222073141244,3.0863060007632312,0.35254057981739184,1.5242823666474448,2.015755015742497,-0.5690380065565308,0,0,13,2.015755015742497,1.5242823666474448,-0.5690380065565308,6,2.4284150646363902,2.070686920855873,-0.38360968783862126,0.75,1.9563459827858542e-06,18,12,13,2.015755015742497,1.5242823666474448,-0.5690380065565308
linear_regression,1.6321310940185956,2.181100822130757,0.6766401680937422,3.180983862762218,4.0435942171044355,-5.313833119139048,0,0,13,4.0435942171044355,3.180983862762218,-5.313833119139048,6,4.787516889133927,3.955451347450367,-4.377598768163758,0.75,1.9563459827858542e-06,18,12,13,4.0435942171044355,3.180983862762218,-5.313833119139048
ridge,1.847756130502099,2.4899027551473845,0.5785953155635367,2.7308058825536303,3.1565456399663723,-2.8475308569491093,0,0,13,3.1565456399663723,2.7308058825536303,-2.8475308569491093,6,3.0447173461067574,2.812494376143951,-1.1750123157793158,0.75,1.9563459827858542e-06,18,12,13,3.1565456399663723,2.7308058825536303,-2.8475308569491093
random_forest,0.9143665540786005,1.3431306228709121,0.8773772393197805,1.6539802844827278,1.9124646405059629,-0.41235799859819044,0,0,13,1.9124646405059629,1.6539802844827278,-0.41235799859819044,6,2.1314753740457095,1.7326447434332406,-0.06592929060649366,0.75,1.9563459827858542e-06,18,12,13,1.9124646405059629,1.6539802844827278,-0.41235799859819044
gradient_boosting,1.7052919494945387,2.523342686699471,0.5672001947261915,1.0855921062558684,1.5031265866203296,0.12753286139881692,0,0,13,1.5031265866203296,1.0855921062558684,0.12753286139881692,6,1.8245165853158036,1.204444910131133,0.21897778185470185,0.75,1.9563459827858542e-06,18,12,13,1.5031265866203296,1.0855921062558684,0.12753286139881692
neural_net_mlp,0.0830828935414716,0.17209693924532038,0.9979868280048166,6.366945272302626,7.746812958435673,-22.174165598086194,0,0,13,7.746812958435673,6.366945272302626,-22.174165598086194,6,9.749070052321075,7.843511450760644,-21.29944938331758,0.75,1.9563459827858542e-06,18,12,13,7.746812958435673,6.366945272302626,-22.174165598086194
