model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,n_nonfinite_pred_train,n_nonfinite_pred_test,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_quantile_used,severe_threshold_damage_share_train,train_count_positive_damage_share,test_count_positive_damage_share,test_count_multi_event,test_RMSE_multi_event,test_MAE_multi_event,test_R2_multi_event,tag,mode,include_macro,include_oil,include_covid,start_year,test_ratio,n_train,n_test,n_features
baseline_mean_train,2.9146069898676084,3.835594668186142,0.0,3.2149142857965356,3.595181442885856,-3.9911381641908434,0,0,13,3.595181442885856,3.2149142857965356,-3.9911381641908434,4,4.867673029919023,4.2802410870850665,,0.85,0.0028791485926867176,18,12,13,3.595181442885856,3.2149142857965356,-3.9911381641908434,run_forecast_strict_tunerf_main,forecast,False,False,False,-1,0.2,49,13,12
baseline_last_year,2.2582896515390583,3.372476921423559,0.22690554151756126,1.9703673481415223,2.6179596656990887,-1.6465729399486597,0,0,13,2.6179596656990887,1.9703673481415223,-1.6465729399486597,4,2.1090316956643775,1.7657391010331658,,0.85,0.0028791485926867176,18,12,13,2.6179596656990887,1.9703673481415223,-1.6465729399486597,run_forecast_strict_tunerf_main,forecast,False,False,False,-1,0.2,49,13,12
baseline_roll3_mean,2.1801222073141244,3.0863060007632312,0.35254057981739184,1.5242823666474448,2.015755015742497,-0.5690380065565308,0,0,13,2.015755015742497,1.5242823666474448,-0.5690380065565308,4,2.701519482279963,2.229005467331622,,0.85,0.0028791485926867176,18,12,13,2.015755015742497,1.5242823666474448,-0.5690380065565308,run_forecast_strict_tunerf_main,forecast,False,False,False,-1,0.2,49,13,12
linear_regression,1.631339230158837,2.181254066703913,0.6765947278465787,3.1790368331989067,4.039745140909637,-5.301818630653273,0,0,13,4.039745140909637,3.1790368331989067,-5.301818630653273,4,4.139977402375544,3.0990235858943533,,0.85,0.0028791485926867176,18,12,13,4.039745140909637,3.1790368331989067,-5.301818630653273,run_forecast_strict_tunerf_main,forecast,False,False,False,-1,0.2,49,13,12
ridge,1.8464310436743459,2.4901005446807516,0.5785283629516558,2.7317480715240756,3.1614506898582233,-2.8594977322015582,0,0,13,3.1614506898582233,2.7317480715240756,-2.8594977322015582,4,2.7088848547095585,2.47525233667184,,0.85,0.0028791485926867176,18,12,13,3.1614506898582233,2.7317480715240756,-2.8594977322015582,run_forecast_strict_tunerf_main,forecast,False,False,False,-1,0.2,49,13,12
random_forest,0.9187220698032568,1.2456299202829697,0.8945339573362788,1.9056490105602886,2.1002621428556596,-0.7033542322796873,0,0,13,2.1002621428556596,1.9056490105602886,-0.7033542322796873,4,2.760617124365658,2.4910459758289236,,0.85,0.0028791485926867176,18,12,13,2.1002621428556596,1.9056490105602886,-0.7033542322796873,run_forecast_strict_tunerf_main,forecast,False,False,False,-1,0.2,49,13,12
gradient_boosting,1.7811090353129753,2.5682185772843673,0.5516692225474192,1.0387445090626417,1.5004042568861764,0.1306902700031023,0,0,13,1.5004042568861764,1.0387445090626417,0.1306902700031023,4,2.248484821690821,1.5861828119456047,,0.85,0.0028791485926867176,18,12,13,1.5004042568861764,1.0387445090626417,0.1306902700031023,run_forecast_strict_tunerf_main,forecast,False,False,False,-1,0.2,49,13,12
neural_net_mlp,0.06965487168107388,0.1402203347344797,0.9986635380870735,4.5549758020400475,5.949040282795453,-12.666326264487942,0,0,13,5.949040282795453,4.5549758020400475,-12.666326264487942,4,7.30851663120146,5.619397291950072,,0.85,0.0028791485926867176,18,12,13,5.949040282795453,4.5549758020400475,-12.666326264487942,run_forecast_strict_tunerf_main,forecast,False,False,False,-1,0.2,49,13,12
