model,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,test_count_any_disaster,test_RMSE_any_disaster,test_MAE_any_disaster,test_R2_any_disaster,test_count_severe_disaster,test_RMSE_severe_disaster,test_MAE_severe_disaster,test_R2_severe_disaster,severe_threshold_damage_share_train_q75
baseline_mean_train,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,1.3643062350033463e-06
baseline_last_year,1.944437807407811,2.755900253342728,-1.2279359431359125,2.254180097319085,3.0497661811095935,-1.1989845998343158,7,3.0497661811095935,2.254180097319085,-1.1989845998343158,5,1.952756448514131,1.6081761629791629,0.20178515990646073,1.3643062350033463e-06
baseline_roll3_mean,1.778030196526043,2.4457693084187175,-0.7547154182520619,2.1533367894697926,2.595584911006887,-0.5927938899119685,7,2.595584911006887,2.1533367894697926,-0.5927938899119685,5,2.5210539305723048,2.105106844135535,-0.3304173777676447,1.3643062350033463e-06
linear_regression,1.036019068821695,1.3819300305869493,0.43979391787402655,1.82385918987867,2.465125564139452,-0.43670363449468996,7,2.465125564139452,1.82385918987867,-0.43670363449468996,5,2.863625112454763,2.210051159476321,-0.7165480352485898,1.3643062350033463e-06
ridge,1.144371440603932,1.432642538722896,0.3979238898410362,1.666455052799664,2.041252215674804,0.014895194261506983,7,2.041252215674804,1.666455052799664,0.014895194261506983,5,2.067240572949321,1.754376685480985,0.10544782342828174,1.3643062350033463e-06
random_forest,0.5918045017822388,0.7410149924988345,0.838924421308932,1.7438599418627283,2.4879016113472363,-0.46337456480137784,7,2.4879016113472363,1.7438599418627283,-0.46337456480137784,5,2.9159796949603756,2.1929699425655382,-0.7798878050766667,1.3643062350033463e-06
gradient_boosting,1.2842630482866855,1.8463419818741118,0.0,1.4166980713794828,2.1019622623729526,-0.044573319122922506,7,2.1019622623729526,1.4166980713794828,-0.044573319122922506,5,2.365816634946191,1.60019145689211,-0.17161736200483846,1.3643062350033463e-06
neural_net_mlp,0.04217613695753956,0.07889695536922994,0.9981740192331169,1.7242546010028914,2.0716315313323252,-0.014645011768783744,7,2.0716315313323252,1.7242546010028914,-0.014645011768783744,5,2.123308845177023,1.730218449439932,0.05626519028258925,1.3643062350033463e-06
